2,17,18,21,27,34,33
1,7,21,23,27,35,24
1,4,8,9,15,32,26
2,11,15,20,29,35,27
7,10,15,17,18,29,21
1,22,27,32,33,34,20
6,11,17,22,31,35,26
3,13,30,31,33,34,24
5,15,19,29,31,34,27
1,8,25,27,31,34,30
6,15,16,20,28,29,36
3,7,9,13,21,26,12
8,9,10,12,13,36,3
5,8,17,18,20,25,28
8,21,24,28,32,34,29
2,9,21,31,32,35,1
9,19,26,27,31,35,12
3,8,16,25,27,30,13
5,9,20,22,29,36,12
2,3,6,12,16,28,29
4,10,16,24,25,34,36
4,5,27,28,29,30,33
3,4,9,29,33,35,36
1,2,3,7,17,22,26
1,4,5,12,23,32,28
1,22,27,33,35,36,12
5,7,9,19,23,25,29
12,19,20,27,28,32,6
5,25,27,28,32,33,3
4,11,14,15,26,30,35
2,21,22,27,29,33,31
2,6,9,10,26,29,33
7,17,23,25,28,34,14
1,3,7,11,13,28,12
2,18,24,30,31,32,34
3,7,8,23,29,31,26
3,13,15,22,24,33,4
4,8,13,26,33,35,15
12,14,23,24,28,29,33
5,9,13,17,34,36,33
11,16,18,21,22,28,12
12,18,26,31,35,36,8
5,8,15,19,24,33,26
2,6,18,23,27,31,4
1,9,16,20,29,31,2
1,2,3,7,13,15,10
3,11,17,18,27,33,35
5,13,21,31,33,34,3
10,11,17,28,32,33,34
5,7,9,11,30,36,21
5,10,13,30,33,34,27
8,10,15,17,23,27,25
6,9,16,20,30,31,15
1,9,10,20,25,35,22
1,8,10,18,22,32,15
1,6,10,11,26,29,5
15,20,25,29,31,35,17
7,10,13,22,24,26,19
1,3,8,16,19,36,14
1,12,13,25,27,30,33
3,6,20,27,30,31,36
4,11,18,22,25,34,9
1,2,14,16,27,30,35
1,5,7,15,29,35,32
15,22,29,32,35,36,4
6,8,12,28,32,36,2
5,6,19,22,32,33,14
9,24,27,33,34,36,20
5,8,12,24,32,34,25
1,3,8,11,23,30,14
5,10,23,24,26,35,1
2,10,18,21,22,35,5
2,9,14,15,25,33,16
2,7,15,24,25,33,3
3,5,18,21,25,33,4
4,7,17,25,32,33,35
11,15,16,21,22,29,33
3,10,17,19,21,22,28
1,13,21,29,32,34,6
9,22,25,28,29,36,11
6,12,21,23,25,27,15
5,6,10,12,23,32,19
4,9,11,16,29,32,27
2,3,11,13,19,30,22
1,4,11,14,26,28,25
6,8,20,22,29,35,34
12,17,22,27,33,36,7
13,18,24,27,30,33,29
2,5,6,8,19,29,18
6,22,24,26,32,34,29
5,19,22,26,28,30,12
5,17,25,27,30,34,32
1,3,21,22,29,31,27
13,21,25,26,31,35,6
4,8,13,18,28,33,27
1,2,4,12,20,28,21
4,10,14,21,22,27,18
3,8,9,12,19,34,25
5,6,8,12,22,30,36
1,13,15,21,22,27,29
3,11,12,13,19,27,30
3,6,7,17,20,35,1
8,15,19,21,24,34,28
2,13,20,21,24,36,31
4,7,11,27,31,32,10
5,20,27,29,32,33,15
3,4,8,20,26,29,11
5,15,17,19,33,36,1
1,9,12,17,20,29,31
3,4,31,33,35,36,16
1,5,8,18,26,27,32
7,10,13,14,27,36,19
6,8,19,27,32,35,2
8,9,30,32,33,34,11
15,19,20,23,27,31,34
12,13,22,26,31,34,14
3,11,14,31,32,36,2
9,15,17,23,25,30,19
10,16,20,21,23,28,5
6,7,16,20,22,26,14
5,6,15,22,25,34,23
4,10,13,15,19,34,6
13,16,26,31,33,35,6
3,10,15,17,25,27,8
3,9,10,20,23,26,7
2,7,16,25,26,30,14
2,11,18,26,27,34,3
1,11,15,24,28,30,29
6,16,22,26,28,34,18
3,11,17,22,34,35,27
3,4,12,18,27,33,22
2,4,11,23,26,31,7
17,19,22,23,28,36,25
11,12,16,22,23,33,29
2,4,13,19,23,33,5
6,16,19,20,27,33,22
3,18,21,22,31,33,19
17,18,21,26,28,36,2
9,14,17,20,24,34,30
7,8,9,15,16,31,23
2,8,27,28,29,33,17
1,7,9,23,29,33,32
6,13,14,16,22,31,9
5,8,9,11,15,35,36
1,5,9,12,14,26,32
3,10,17,20,24,29,16
4,6,8,16,22,28,7
2,10,11,22,24,31,21
1,22,25,29,31,36,27
4,15,18,24,27,30,1
2,4,9,10,24,31,20
12,13,14,16,21,36,2
1,8,19,23,31,34,11
6,15,16,18,21,32,20
5,9,15,28,30,33,7
4,11,23,24,28,30,29
16,26,28,29,31,35,23
1,13,15,23,28,29,6
11,13,17,25,26,30,15
2,4,7,14,26,34,10
19,25,28,30,33,35,23
3,5,8,13,19,26,36
2,4,8,24,29,35,33
4,6,13,22,23,33,34
4,8,16,18,29,33,10
4,11,15,26,31,34,17
4,5,7,15,23,24,12
2,8,12,29,32,33,3
4,24,33,34,35,36,5
2,11,18,22,25,32,23
13,20,22,26,27,33,17
10,19,20,24,32,35,18
8,10,13,14,21,23,17
4,6,17,21,22,36,7
5,10,15,16,22,28,21
4,8,13,21,24,35,7
3,4,5,13,29,33,11
9,14,15,24,26,36,17
4,5,9,13,24,31,30
1,4,12,27,31,32,7
3,22,23,28,32,33,27
3,10,17,22,26,34,28
3,10,13,17,25,27,9
8,12,13,15,19,31,14
