19,21,22,32,33,35
19,21,30,32,33,35
19,22,30,32,33,35
21,22,30,32,33,35
11,13,21,22,35,36
11,13,21,22,35,28
11,13,21,22,36,28
11,13,21,35,36,28
11,13,22,35,36,28
11,21,22,35,36,28
13,21,22,35,36,28
8,14,16,25,26,29
8,14,16,25,26,31
8,14,16,25,29,31
8,14,16,26,29,31
8,14,25,26,29,31
8,16,25,26,29,31
14,16,25,26,29,31
4,18,23,25,27,30
4,18,23,25,27,16
4,18,23,25,30,16
4,18,23,27,30,16
4,18,25,27,30,16
4,23,25,27,30,16
18,23,25,27,30,16
3,8,16,18,24,26
3,8,16,18,24,35
3,8,16,18,26,35
3,8,16,24,26,35
3,8,18,24,26,35
3,16,18,24,26,35
8,16,18,24,26,35
